"sample_ID","species","presence"
"1_ODK","Coccidula rufa",1
"10_NPT","Coccidula rufa",0
"100_DHN1","Coccidula rufa",0
"101_DHN1","Coccidula rufa",0
"11_NPT","Coccidula rufa",0
"110_DUI","Coccidula rufa",1
"111_DUI","Coccidula rufa",0
"112_DUI","Coccidula rufa",0
"113_DUI","Coccidula rufa",0
"114_DUI","Coccidula rufa",1
"115_DUI","Coccidula rufa",0
"116_DUI","Coccidula rufa",0
"117_DUI","Coccidula rufa",1
"118_DUI","Coccidula rufa",0
"119_DUI","Coccidula rufa",0
"12_NPT","Coccidula rufa",0
"120_DUI","Coccidula rufa",0
"121_DUI","Coccidula rufa",0
"122_DUI","Coccidula rufa",0
"123_DUI","Coccidula rufa",0
"125_WTN","Coccidula rufa",0
"126_WTN","Coccidula rufa",0
"127_WTN","Coccidula rufa",0
"128_WTN","Coccidula rufa",0
"129_WTN","Coccidula rufa",1
"13_NPT","Coccidula rufa",0
"130_WTN","Coccidula rufa",0
"131_WTN","Coccidula rufa",1
"132_WTN","Coccidula rufa",0
"133_WTN","Coccidula rufa",0
"134_WTN","Coccidula rufa",0
"135_WTN","Coccidula rufa",0
"137_WTN","Coccidula rufa",0
"138_WTN","Coccidula rufa",0
"139_WTN","Coccidula rufa",1
"14_NPT","Coccidula rufa",0
"140_ODK-BAD","Coccidula rufa",1
"141_ODK-BAD","Coccidula rufa",0
"142_ODK-BAD","Coccidula rufa",1
"143_ODK-BAD","Coccidula rufa",0
"144_ODK-BAD","Coccidula rufa",0
"145_ODK-BAD","Coccidula rufa",0
"146_ODK-BAD","Coccidula rufa",0
"147_ODK-BAD","Coccidula rufa",1
"148_ODK-BAD","Coccidula rufa",0
"15_NPT","Coccidula rufa",0
"150_ODK-BAD","Coccidula rufa",0
"151_ZWN","Coccidula rufa",0
"152_ZWN","Coccidula rufa",0
"153_ZWN","Coccidula rufa",0
"154_ZWN","Coccidula rufa",0
"155_ZWN","Coccidula rufa",0
"156_ZWN","Coccidula rufa",0
"157_ZWN","Coccidula rufa",0
"158_ZWN","Coccidula rufa",0
"159_ZWN","Coccidula rufa",0
"16_NPT","Coccidula rufa",1
"160_ZWN","Coccidula rufa",0
"161_ZWN","Coccidula rufa",0
"162_DHN_K","Coccidula rufa",0
"163_DHN_K","Coccidula rufa",1
"164_DHN_K","Coccidula rufa",1
"165_DHN_K","Coccidula rufa",0
"166_DHN_K","Coccidula rufa",0
"167_DHN_K","Coccidula rufa",0
"168_DHN_K","Coccidula rufa",0
"169_DHN_K","Coccidula rufa",0
"17_NPT","Coccidula rufa",0
"170_DHN_K","Coccidula rufa",0
"171_DHN_K","Coccidula rufa",0
"172_DHN_K","Coccidula rufa",0
"173_DHN_K","Coccidula rufa",0
"174_DHN_K","Coccidula rufa",0
"175_DHN_K","Coccidula rufa",0
"176_DHN_K","Coccidula rufa",0
"177_BKN_W","Coccidula rufa",0
"178_BKN_W","Coccidula rufa",0
"179_BKN_W","Coccidula rufa",0
"18_NPT","Coccidula rufa",0
"180_BKN_W","Coccidula rufa",0
"181_BKN_W","Coccidula rufa",0
