sample_ID	transect	country	vitality	proportion_50	mt_stat_50	urbanization	district	X	Y	X_mean	Y_mean
224_N	Bergen_aan_Zee	NL	4	0.417626654	0.927722224	0.000095246	Wadden	4.628523	52.664932	4.6293734	52.66756385
222_N	Bergen_aan_Zee	NL	4	0.422970522	0.944460687	0.000095246	Wadden	4.628469	52.664055	4.6293734	52.66756385
234_N	Bergen_aan_Zee	NL	4	0.575361993	0.93405282	0.000095246	Wadden	4.629271	52.667849	4.6293734	52.66756385
223_N	Bergen_aan_Zee	NL	4	0.493607425	0.933710185	0.000095246	Wadden	4.628624	52.664731	4.6293734	52.66756385
236_N	Bergen_aan_Zee	NL	4	0.648588368	0.921345681	0.000095246	Wadden	4.630156	52.667601	4.6293734	52.66756385
229_N	Bergen_aan_Zee	NL	4	0.566962603	0.945457544	0.000095246	Wadden	4.629684	52.668768	4.6293734	52.66756385
221_N	Bergen_aan_Zee	NL	3	0.461185024	0.955466974	0.000095246	Wadden	4.628618	52.664175	4.6293734	52.66756385
227_N	Bergen_aan_Zee	NL	4	0.313493961	0.937800179	0.000095246	Wadden	4.629937	52.670399	4.6293734	52.66756385
239_N	Bergen_aan_Zee	NL	4	0.585393475	0.943873259	0.000095246	Wadden	4.629389	52.66714	4.6293734	52.66756385
232_N	Bergen_aan_Zee	NL	4	0.648502971	0.948463983	0.000095246	Wadden	4.629591	52.668343	4.6293734	52.66756385
237_N	Bergen_aan_Zee	NL	4	0.604078545	0.945867264	0.000095246	Wadden	4.629228	52.667473	4.6293734	52.66756385
230_N	Bergen_aan_Zee	NL	3	0.704287581	0.933461479	0.000095246	Wadden	4.630058	52.66859	4.6293734	52.66756385
235_N	Bergen_aan_Zee	NL	3	0.537034441	0.9346946	0.000095246	Wadden	4.629172	52.667851	4.6293734	52.66756385
240_N	Bergen_aan_Zee	NL	4	0.355394169	0.919940826	0.000095246	Wadden	4.628658	52.665932	4.6293734	52.66756385
233_N	Bergen_aan_Zee	NL	4	0.608390266	0.948157942	0.000095246	Wadden	4.629445	52.668335	4.6293734	52.66756385
225_N	Bergen_aan_Zee	NL	4	0.516981282	0.939969649	0.000095246	Wadden	4.62974	52.668991	4.6293734	52.66756385
231_N	Bergen_aan_Zee	NL	4	0.632854949	0.948739838	0.000095246	Wadden	4.629725	52.668546	4.6293734	52.66756385
238_N	Bergen_aan_Zee	NL	4	0.617146425	0.942190868	0.000095246	Wadden	4.629391	52.667333	4.6293734	52.66756385
186_BKN_W	BKN_W	BE	4	0.627798203	0.915169438	0.000760392	Flemish dunes	3.10391	51.3102	3.105162	51.3106
183_BKN_W	BKN_W	BE	3	0.543286815	0.908833842	0.000760392	Flemish dunes	3.10611	51.31086	3.105162	51.3106
184_BKN_W	BKN_W	BE	4	0.690679957	0.899819281	0.000760392	Flemish dunes	3.10505	51.3106	3.105162	51.3106
185_BKN_W	BKN_W	BE	3	0.847727551	0.922941241	0.000760392	Flemish dunes	3.10424	51.31065	3.105162	51.3106
178_BKN_W	BKN_W	BE	3	0.517545651	0.892783157	0.000760392	Flemish dunes	3.10879	51.31185	3.105162	51.3106
190_BKN_W	BKN_W	BE	3	0.517885963	0.895537281	0.000760392	Flemish dunes	3.10062	51.30897	3.105162	51.3106
191_BKN_W	BKN_W	BE	4	0.654703299	0.904916858	0.000760392	Flemish dunes	3.09985	51.30884	3.105162	51.3106
177_BKN_W	BKN_W	BE	2	0.483034748	0.901985609	0.000760392	Flemish dunes	3.10839	51.31168	3.105162	51.3106
189_BKN_W	BKN_W	BE	3	0.435943024	0.879382504	0.000760392	Flemish dunes	3.10214	51.30947	3.105162	51.3106
179_BKN_W	BKN_W	BE	3	0.599113544	0.898156902	0.000760392	Flemish dunes	3.10952	51.3121	3.105162	51.3106
181_BKN_W	BKN_W	BE	3	0.549444263	0.909394261	0.000760392	Flemish dunes	3.1074	51.31138	3.105162	51.3106
182_BKN_W	BKN_W	BE	3	0.516620697	0.912848254	0.000760392	Flemish dunes	3.10686	51.31115	3.105162	51.3106
188_BKN_W	BKN_W	BE	2	0.417698247	0.898886587	0.000760392	Flemish dunes	3.10289	51.30972	3.105162	51.3106
187_BKN_W	BKN_W	BE	2	0.433090969	0.909678471	0.000760392	Flemish dunes	3.10364	51.30995	3.105162	51.3106
180_BKN_W	BKN_W	BE	3	0.535226228	0.901668633	0.000760392	Flemish dunes	3.10802	51.31158	3.105162	51.3106
38_F	BrayDunes	FR	4	0.206979631	0.951598757	0.000497887	Flemish dunes	2.53417	51.08527	2.5308617	51.0842911
43_F	BrayDunes	FR	4	0.223450473	0.961652556	0.000497887	Flemish dunes	2.534983	51.085643	2.5308617	51.0842911
45_F	BrayDunes	FR	4	0.421914816	0.919546249	0.000497887	Flemish dunes	2.531264	51.084401	2.5308617	51.0842911
47_F	BrayDunes	FR	3	0.391660948	0.929963483	0.000497887	Flemish dunes	2.527212	51.083068	2.5308617	51.0842911
54_F	BrayDunes	FR	4	0.303806406	0.935535767	0.000497887	Flemish dunes	2.52878	51.0835	2.5308617	51.0842911
39_F	BrayDunes	FR	4	0.449609067	0.917711677	0.000497887	Flemish dunes	2.53221	51.08467	2.5308617	51.0842911
44_F	BrayDunes	FR	4	0.22395472	0.952435098	0.000497887	Flemish dunes	2.5334	51.085041	2.5308617	51.0842911
46_F	BrayDunes	FR	3	0.283907277	0.938332046	0.000497887	Flemish dunes	2.529338	51.084088	2.5308617	51.0842911
