sample_ID	Acari1	Acari2	Aegialia_arenaria	Aelia_acuminata	Aleochara_bipustulata	Aleocharinae_indet._1	Anthicus_antherinus	Anthocomus_rufus	Anthomyiidae_indet.	Aphidoidea_sp.3	Aphthona_euphorbiae	Araneidae_sp.	Arctosa_perita	Armadillidium_vulgare	Athalia_rosae	Baryphyma_maritimum	Bracon_sp.	Braconidae	Calathus_mollis	Candidula_unifasciata	Cecidomyiidae_indet.	Ceratopogonidae_indet.	Ceutorhynchus_obstrictus	Chalcidoidea	Chamaemyia_sp.	Chironomidae_indet.	Chloropidae_indet.	Chorosoma_schillingii	Chrysopa_abbreviata	Chrysoperla_carnea_s.l.	Clanoptilus_marginellus	Clubiona_frisia	Clubiona_sp.	Coccidula_rufa	Coccinella_septempunctata	Coccinella_undecimpunctata	Coccinellidae_indet.	Cochlicella_acuta	Cochlicella_barbara	Collembola_sp.	Conocephalus_discolor	Conosanus_obsoletus	Cteniopus_sulphureus	Cylindroiulus_latestriatus	Dactylochelifer_latreillii	Demetrias_atricapillus	Demetrias_monostigma	Diplazon_laetatorius	Doratura_impudica	Drosophilidae_indet.	Elipsocidae	Entelecara_erythropus	Erigone_sp.	Eurytoma_sp.	Euscelis_incisus	Eutropha_fulvifrons	Formica_cunicularia	Gravesteiniella_boldi	Hecamede_albicans	Herina_palustris	Himacerus_major	Hippodamia_variegata	Hydrellia_maura	Ischnodemus_sabuleti	Javesella_pellucida	Kleidocerys_resedae	Lagria_hirta	Laingia_psammae	Lasius_niger	Lauria_cylindracea	Lepidoptera_indet.	Leptocera_nigra	Leucopis_sp.	Lissonota_cruentator/histrio	Lonchoptera_lutea	Longitarsus_jacobaeae	Longitarsus_luridus	Longitarsus_ochroleucus	Melanophthalma_indet.	Meligethes1	Meligethes2	Meromyza_nigriventris	Meromyza_pratorum	Minettia_indet.	Muirodelphax_aubei	Muscidae_indet.	Mymarommatidae	Myrmica_sabuleti	Myrmica_specioides	Nabis_ferus	Nabis_indet.	Neophilaenus_lineatus	Neoscona_adianta	Nitidulidae_sp.	Notostira_elongata	Notoxus_monoceros	Olibrus_sp.	Ommatoiulus_sabulosus	Opiliones_sp.	Oscinella_nitidissima	Oscinella_sp.	Otiorhynchus_atroapterus	Paradromius_linearis	Phalangium_opilio	Pherbellia_cinerella	Philaenus_spumarius	Philopedon_plagiatum	Phoridae_indet.	Phrurolithus_festivus	Phylan_gibbus	Platypalpus_sp.	Platystethus_nodifrons	Porcellio_scaber	Psammotettix_maritimus	Psammotettix_sabulicola	Pseudoscorpiones_indet.	Psilothrix_viridicoeruleus	Psocoptera_indet.	Psychodidae_indet.	Psylliodes_chrysocephalus	Pupilla_muscorum	Rhagonycha_fulva	Rhinophoridae_indet.	Rhopalus_parumpunctatus	Rhysodromus_fallax	Sapromyza_quadripunctata	Sarcophagidae_indet.	Scatella_indet.	Scatella_tenuicosta	Scatopsidae_indet.	Schizaphis_rufula	Sciaridae_indet.	Sepsidae_indet.	Sepsis_indet.	Sitona_lineatus	Sphaeroceridae_indet.	Stenodema_calcarata	Stenodema_laevigata	Stictopleurus_punctatonervosus	Symplecta_stictica	Synagelis_venator	Tenuiphantes_tenuis	Tephritis_vespertina	Tethina_illota	Tetragnatha_extensa	Tetramorium_caespitum	Thanatus_striatus	Thaumatomyia_glabra	Thaumatomyia_notata	Theba_pisana	Thereva_cinifera	Thysanoptera_sp.1	Tibellus_maritimus	Torymus_baudysi	Trechus_quadristriatus	Xanthocanace_ranula	Xeroplexa_intersecta	Zyginidia_scutellaris	Zyginidia_viaduensis	somID
1_F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	120
1_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	19
1_ODK	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	28
1_UK	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
10_F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
10_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4
10_NPT	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	55
10_UK	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14
100_DHN1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	21
100_F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8
